chimeric_reads,match,mismatch,chimeric,correct_chimeric,incorrect_chimeric,assignable_chimeric,unassigned_chimeric,match_chimeric,mismatch_chimeric,non_chimeric,correct_non_chimeric,incorrect_non_chimeric,assignable_non_chimeric,unassigned_non_chimeric,match_non_chimeric,mismatch_non_chimeric
530,443,87,241,204,1,12,24,241,0,289,90,0,112,0,202,87
588,500,88,277,221,4,21,31,277,0,311,92,0,131,0,223,88
521,447,74,268,218,5,18,27,268,0,253,80,0,99,0,179,74
408,352,56,195,156,6,15,18,195,0,213,96,0,61,0,157,56
488,398,90,219,177,3,14,25,219,0,269,88,0,91,0,179,90
523,455,68,270,225,2,25,18,270,0,253,79,0,106,0,185,68
663,562,101,320,281,2,14,23,320,0,343,100,0,142,0,242,101
459,385,74,233,198,5,10,20,233,0,226,62,0,90,0,152,74
559,462,97,265,232,2,13,18,265,0,294,73,0,124,0,197,97
524,440,84,234,193,1,18,22,234,0,290,83,0,123,0,206,84
450,392,58,225,179,4,21,21,225,0,225,79,0,88,0,167,58
572,473,99,252,217,3,11,21,252,0,320,103,0,118,0,221,99
486,415,71,228,187,1,18,22,228,0,258,88,0,99,0,187,71
577,492,85,276,233,2,14,27,276,0,301,95,0,121,0,216,85
436,375,61,218,184,5,10,19,218,0,218,72,0,85,0,157,61
602,497,105,297,249,0,25,23,297,0,305,95,0,105,0,200,105
525,437,88,246,214,1,15,16,246,0,279,82,0,109,0,191,88
434,372,62,200,163,4,11,22,200,0,234,78,0,94,0,172,62
604,516,88,267,227,2,18,20,267,0,337,131,0,118,0,249,88
649,563,86,317,255,3,23,36,317,0,332,105,0,141,0,246,86
726,630,96,335,282,2,24,27,335,0,391,104,0,191,0,295,96
523,434,89,242,202,0,16,24,242,0,281,73,0,119,0,192,89
405,346,59,207,162,2,26,17,207,0,198,77,0,62,0,139,59
558,489,69,270,226,3,22,19,270,0,288,89,0,130,0,219,69
569,487,82,253,219,1,10,23,253,0,316,95,0,139,0,234,82
499,417,82,218,185,4,12,17,218,0,281,97,0,102,0,199,82
529,458,71,260,226,5,16,13,260,0,269,72,0,126,0,198,71
455,391,64,222,183,3,15,21,222,0,233,68,0,101,0,169,64
676,582,94,332,286,3,21,22,332,0,344,109,0,141,0,250,94
478,394,84,225,186,2,13,24,225,0,253,71,0,98,0,169,84
730,608,122,327,273,2,25,27,327,0,403,91,0,190,0,281,122
521,443,78,253,207,2,17,27,253,0,268,84,0,106,0,190,78
461,390,71,214,170,1,18,25,214,0,247,88,0,88,0,176,71
468,395,73,232,205,0,13,14,232,0,236,73,0,90,0,163,73
603,519,84,297,256,4,13,24,297,0,306,92,0,130,0,222,84
632,528,104,289,240,2,24,23,289,0,343,99,0,140,0,239,104
511,408,103,231,204,7,9,11,231,0,280,89,0,88,0,177,103
713,581,132,305,251,5,23,26,305,0,408,103,0,173,0,276,132
449,386,63,236,202,2,7,25,236,0,213,79,0,71,0,150,63
474,394,80,246,198,2,19,27,246,0,228,73,0,75,0,148,80
489,419,70,257,213,4,25,15,257,0,232,74,0,88,0,162,70
507,423,84,247,208,0,20,19,247,0,260,82,0,94,0,176,84
555,488,67,283,251,0,6,26,283,0,272,86,0,119,0,205,67
525,420,105,235,198,3,11,23,235,0,290,83,0,102,0,185,105
602,506,96,274,218,3,27,26,274,0,328,105,0,127,0,232,96
679,578,101,331,275,2,27,27,331,0,348,110,0,137,0,247,101
413,337,76,214,161,3,24,26,214,0,199,58,0,65,0,123,76
669,570,99,317,279,2,10,26,317,0,352,108,0,145,0,253,99
730,609,121,339,286,3,20,30,339,0,391,116,0,154,0,270,121
629,533,96,318,271,1,28,18,318,0,311,94,0,121,0,215,96
543,441,102,262,225,1,17,19,262,0,281,75,0,104,0,179,102
577,472,105,281,229,3,15,34,281,0,296,87,0,104,0,191,105
508,432,76,248,217,3,3,25,248,0,260,83,0,101,0,184,76
565,483,82,289,259,3,11,16,289,0,276,85,0,109,0,194,82
505,424,81,250,214,4,13,19,250,0,255,66,0,108,0,174,81
417,340,77,190,157,5,8,20,190,0,227,79,0,71,0,150,77
593,510,83,297,245,3,19,30,297,0,296,94,0,119,0,213,83
538,468,70,254,215,2,17,20,254,0,284,78,0,136,0,214,70
432,368,64,225,188,1,17,19,225,0,207,85,0,58,0,143,64
564,482,82,275,233,5,18,19,275,0,289,93,0,114,0,207,82
516,440,76,256,217,2,21,16,256,0,260,77,0,107,0,184,76
532,461,71,270,217,2,14,37,270,0,262,83,0,108,0,191,71
443,386,57,208,177,2,15,14,208,0,235,89,0,89,0,178,57
472,374,98,212,172,6,8,26,212,0,260,85,0,77,0,162,98
572,498,74,275,232,1,19,23,275,0,297,70,0,153,0,223,74
490,403,87,244,195,4,19,26,244,0,246,69,0,90,0,159,87
572,500,72,270,230,3,18,19,270,0,302,81,0,149,0,230,72
706,592,114,333,287,1,20,25,333,0,373,99,0,160,0,259,114
397,333,64,182,146,4,13,19,182,0,215,72,0,79,0,151,64
495,414,81,224,190,1,11,22,224,0,271,95,0,95,0,190,81
546,471,75,270,213,2,27,28,270,0,276,83,0,118,0,201,75
430,363,67,209,184,1,11,13,209,0,221,77,0,77,0,154,67
497,431,66,272,228,5,8,31,272,0,225,66,0,93,0,159,66
562,470,92,267,227,2,16,22,267,0,295,90,0,113,0,203,92
724,624,100,364,313,3,22,26,364,0,360,109,0,151,0,260,100
